PGCname	T
PGC0000212	1
PGC0000218	0
PGC0000243	-2
PGC0000255	9
PGC0000281	7
PGC0000282	6
PGC0000451	8
PGC0000548	8
PGC0000635	2
PGC0000639	1
PGC0000647	9
PGC0000670	4
PGC0000825	8
PGC0000963	6
PGC0001058	6
PGC0001221	6
PGC0001224	3
PGC0001237	3
PGC0001293	7
PGC0001306	1
PGC0001309	-5
PGC0001478	6
PGC0001523	6
PGC0001621	5
PGC0001713	7
PGC0001747	3
PGC0001781	10
PGC0001805	4
PGC0001841	3
PGC0001862	6
PGC0001909	4
PGC0001932	4
PGC0001933	6
PGC0001936	8
PGC0002016	8
PGC0002035	2
PGC0002076	-3
PGC0002149	-3
PGC0002151	7
PGC0002182	5
PGC0002269	6
PGC0002288	1
PGC0002331	1
PGC0002332	-3
PGC0002352	1
PGC0002357	-3
PGC0002365	8
PGC0002388	5
PGC0002391	3
PGC0002440	6
PGC0002482	1
PGC0002501	-4
PGC0002522	-6
PGC0002527	0
PGC0002597	3
PGC0002600	4
PGC0002615	6
PGC0002768	2
PGC0002800	2
PGC0002805	9
PGC0002889	5
PGC0003072	7
PGC0003140	3
PGC0003232	10
PGC0003312	-3
PGC0003314	6
PGC0003355	-3
PGC0003377	5
PGC0003451	-4
PGC0003496	8
PGC0003563	1
PGC0003566	7
PGC0003569	6
PGC0003584	2
PGC0003620	3
PGC0003781	8
PGC0003817	-4
PGC0003830	-4
PGC0003833	-2
PGC0003904	8
PGC0003960	4
PGC0003976	-5
PGC0004116	2
PGC0004124	2
PGC0004363	-3
PGC0004367	7
PGC0004368	-2
PGC0004376	-3
PGC0004415	0
PGC0004416	10
PGC0004484	1
PGC0004485	8
PGC0004500	-4
PGC0004540	6
PGC0004608	8
PGC0004647	10
PGC0004663	8
PGC0004734	6
PGC0004793	-2
PGC0004805	8
PGC0004812	4
PGC0004897	8
PGC0004899	-2
PGC0004906	2
PGC0004979	7
PGC0004992	4
PGC0005055	-3
PGC0005056	6
PGC0005078	1
PGC0005220	10
PGC0005261	0
PGC0005270	4
PGC0005271	-2
PGC0005291	8
PGC0005298	6
PGC0005326	-3
PGC0005330	8
PGC0005366	10
PGC0005415	8
PGC0005436	-3
PGC0005449	-1
PGC0005527	5
PGC0005539	1
PGC0005540	-2
PGC0005574	-2
PGC0005645	4
PGC0005673	6
PGC0005688	1
PGC0005771	6
PGC0005776	8
PGC0005792	7
PGC0005803	6
PGC0005830	3
PGC0005838	1
PGC0005932	2
PGC0005939	2
PGC0006004	-4
PGC0006005	3
PGC0006090	-3
PGC0006155	-2
PGC0006193	6
PGC0006292	9
PGC0006309	9
PGC0006318	3
PGC0006364	8
PGC0006450	-3
PGC0006504	10
PGC0006505	7
PGC0006516	8
PGC0006627	6
PGC0006628	9
PGC0006636	7
PGC0006637	9
PGC0006657	-1
PGC0006667	7
PGC0006670	0
PGC0006671	2
PGC0006673	-5
PGC0006678	6
PGC0006826	3
PGC0006832	3
PGC0006835	-2
PGC0006855	6
PGC0006861	-3
PGC0006888	1
PGC0006982	3
PGC0006986	5
PGC0007022	8
PGC0007042	8
PGC0007046	8
PGC0007063	-1
PGC0007064	-4
PGC0007090	-3
PGC0007114	3
PGC0007118	-3
PGC0007210	4
PGC0007246	6
PGC0007262	7
PGC0007328	3
PGC0007341	1
PGC0007366	3
PGC0007465	5
PGC0007485	6
PGC0007533	6
PGC0007536	-2
PGC0007574	6
PGC0007632	1
PGC0007654	10
PGC0007740	4
PGC0007741	2
PGC0007748	-3
PGC0007806	6
PGC0007835	7
PGC0007846	-2
PGC0007856	1
PGC0007889	-2
PGC0007905	7
PGC0007965	-1
PGC0007966	6
PGC0007979	4
PGC0007998	10
PGC0008014	6
PGC0008029	-1
PGC0008060	8
PGC0008165	3
PGC0008182	8
PGC0008201	-3
PGC0008225	1
PGC0008228	1
PGC0008232	4
PGC0008250	-1
PGC0008258	-2
PGC0008295	9
PGC0008302	10
PGC0008397	9
PGC0008399	-1
PGC0008406	8
PGC0008412	8
PGC0008439	2
PGC0008464	0
PGC0008502	2
PGC0008522	0
PGC0008526	1
PGC0008586	1
PGC0008659	-2
PGC0008718	-5
PGC0008876	2
PGC0008929	-2
PGC0008979	-2
PGC0009028	7
PGC0009256	5
PGC0009283	11
PGC0009352	-3
PGC0009359	-1
PGC0009376	5
PGC0009406	10
PGC0009414	9
PGC0009445	6
PGC0009514	-2
PGC0009530	10
PGC0009549	2
PGC0009617	7
PGC0009621	1
PGC0009642	-3
PGC0009643	4
PGC0009684	-2
PGC0009711	1
PGC0009765	7
PGC0009817	4
PGC0009822	4
PGC0009843	6
PGC0009846	8
PGC0009869	7
PGC0009880	5
PGC0009894	4
PGC0010060	0
PGC0010065	3
PGC0010108	4
PGC0010117	10
PGC0010122	5
PGC0010132	11
PGC0010137	1
PGC0010140	2
PGC0010175	-5
PGC0010208	3
PGC0010213	10
PGC0010249	3
PGC0010285	5
PGC0010290	2
PGC0010315	1
PGC0010381	9
PGC0010464	3
PGC0010496	6
PGC0010507	4
PGC0010559	2
PGC0010574	4
PGC0010634	2
PGC0010647	1
PGC0010649	-6
PGC0010651	-1
PGC0010673	8
PGC0010697	2
PGC0010726	3
PGC0010747	6
PGC0010766	4
PGC0010794	5
PGC0010843	-1
PGC0010854	9
PGC0010857	5
PGC0010875	1
PGC0011000	6
PGC0011007	-5
PGC0011067	6
PGC0011075	3
PGC0011112	5
PGC0011148	4
PGC0011154	8
PGC0011170	-5
PGC0011397	8
PGC0011537	-1
PGC0011573	9
PGC0011598	6
PGC0011670	0
PGC0011751	8
PGC0011767	4
PGC0011813	5
PGC0011912	2
PGC0011919	4
PGC0011966	-1
PGC0012017	1
PGC0012090	6
PGC0012163	6
PGC0012220	4
PGC0012259	3
PGC0012262	3
PGC0012466	3
PGC0012531	5
PGC0012560	5
PGC0012620	5
PGC0012633	3
PGC0012655	4
PGC0012733	8
PGC0012772	2
PGC0012801	-6
PGC0012803	3
PGC0013005	3
PGC0013009	3
PGC0013117	4
PGC0013204	5
PGC0013218	-3
PGC0013308	8
PGC0013394	5
PGC0013406	6
PGC0013407	7
PGC0013421	6
PGC0013426	6
PGC0013535	6
PGC0013600	0
PGC0013702	4
PGC0013879	4
PGC0013903	8
PGC0014004	-3
PGC0014100	6
PGC0020545	8
PGC0020799	2
PGC0020886	4
PGC0020900	4
PGC0021014	-5
PGC0021073	10
PGC0021104	8
PGC0021119	5
PGC0021120	7
PGC0021144	3
PGC0021154	6
PGC0021168	7
PGC0021187	4
PGC0021220	-3
PGC0021244	8
PGC0021280	0
PGC0021291	4
PGC0021321	8
PGC0021336	3
PGC0021341	2
PGC0021372	1
PGC0021382	-2
PGC0021402	2
PGC0021414	0
PGC0021431	4
PGC0021437	1
PGC0021443	6
PGC0021475	4
PGC0021491	9
PGC0021495	6
PGC0021513	6
PGC0021515	8
PGC0021517	10
PGC0021542	-5
PGC0021555	8
PGC0021558	3
PGC0021578	7
PGC0021580	5
PGC0021581	2
PGC0021585	10
PGC0021600	10
PGC0021618	2
PGC0021657	7
PGC0021659	-5
PGC0021665	1
PGC0021676	1
PGC0021680	5
PGC0021688	8
PGC0021733	6
PGC0021755	3
PGC0021767	0
PGC0021774	-2
PGC0021776	3
PGC0021782	6
PGC0021786	-3
PGC0021789	4
PGC0021802	2
PGC0021819	6
PGC0021847	5
PGC0021849	6
PGC0021857	5
PGC0021891	8
PGC0021909	6
PGC0021918	4
PGC0021919	7
PGC0021927	2
PGC0021940	5
PGC0021976	6
PGC0021978	6
PGC0021983	7
PGC0022008	3
PGC0022032	4
PGC0022042	9
PGC0022052	4
PGC0022063	4
PGC0022093	2
PGC0022096	7
PGC0022110	4
PGC0022134	4
PGC0022143	8
PGC0022144	8
PGC0022151	7
PGC0022162	-1
PGC0022176	6
PGC0022188	6
PGC0022205	4
PGC0022260	-5
PGC0022266	1
PGC0022279	5
PGC0022297	7
PGC0022305	10
PGC0022314	1
PGC0022317	1
PGC0022321	-6
PGC0022322	-5
PGC0022340	8
PGC0022343	4
PGC0022350	-5
PGC0022378	2
PGC0022381	3
PGC0022389	6
PGC0022391	6
PGC0022397	-5
PGC0022403	3
PGC0022404	0
PGC0022408	1
PGC0022417	3
PGC0022418	1
PGC0022443	1
PGC0022445	3
PGC0022446	9
PGC0022453	5
PGC0022468	9
PGC0022495	9
PGC0022501	-5
PGC0022510	0
PGC0022525	7
PGC0022542	3
PGC0022554	2
PGC0022565	4
PGC0022581	6
PGC0022585	-3
PGC0022596	3
PGC0022609	-3
PGC0022618	7
PGC0022644	1
PGC0022677	8
PGC0022678	6
PGC0022681	4
PGC0022693	6
PGC0022698	5
PGC0022707	-3
PGC0022710	8
PGC0022724	3
PGC0022749	1
PGC0022752	6
PGC0022755	-1
PGC0022762	1
PGC0022766	4
PGC0022767	-2
PGC0022772	6
PGC0022800	-5
PGC0022802	6
PGC0022803	8
PGC0022805	4
PGC0022827	6
PGC0022830	8
PGC0022838	-5
PGC0022860	4
PGC0022866	-3
PGC0022867	1
PGC0022873	7
PGC0022881	-1
PGC0022883	4
PGC0022890	1
PGC0022896	4
PGC0022915	4
PGC0022921	6
PGC0022922	4
PGC0022941	8
PGC0022950	-5
PGC0022955	9
PGC0022957	5
PGC0022958	6
PGC0022962	3
PGC0023017	4
PGC0023024	-1
PGC0023028	3
PGC0023040	9
PGC0023047	4
PGC0023057	6
PGC0023064	6
PGC0023069	4
PGC0023071	7
PGC0023086	1
PGC0023093	3
PGC0023103	2
PGC0023110	7
PGC0023111	0
PGC0023117	4
PGC0023147	6
PGC0023152	8
PGC0023160	-3
PGC0023169	4
PGC0023170	4
PGC0023173	4
PGC0023193	-3
PGC0023225	8
PGC0023232	4
PGC0023245	8
PGC0023256	0
PGC0023259	1
PGC0023266	8
PGC0023271	5
PGC0023279	8
PGC0023289	3
PGC0023313	-2
PGC0023319	6
PGC0023329	-1
